Name,Date Created,Latitude,Longitude,Northing,Easting,Description
MC1-b1,2017-06-05 10:14:31 AM MDT,38.92296342,-106.9501401,4310035.759,330944.0419,
M1 Soils,2017-06-05 01:54:23 PM MDT,38.91983208,-106.9493336,4309686.737,331006.5256,
M2 Soils,2017-06-05 01:10:38 PM MDT,38.92039972,-106.9491086,4309749.319,331027.3878,
M4 Soils,2017-06-05 02:17:09 PM MDT,38.92078593,-106.9484935,4309791.042,331081.6281,
MC2-b1,2017-06-06 01:02:35 PM MDT,38.92296485,-106.9500771,4310035.801,330949.5081,
MC1-b1,2017-06-07 09:06:05 AM MDT,38.92310316,-106.9500488,4310051.099,330952.2898,
MC3-b2,2017-06-06 04:13:55 PM MDT,38.92295447,-106.9499485,4310034.411,330960.6342,
Placemark 8,2017-06-07 09:05:55 AM MDT,38.92293792,-106.9501886,4310033.019,330939.7727,
Pumphouse ,2017-06-07 12:53:15 PM MDT,38.92230335,-106.9506686,4309963.483,330896.6581,
Stream Meets Meander,2017-06-05 11:55:29 AM MDT,38.92207947,-106.950462,4309938.252,330914.0375,
